pregunta,opcion1,opcion2,opcion3,opcion4,opcion5,correctas,explicacion
"Si durante la circulación entra en un “banco de humo” originado por quema de pastizales o proveniente de fábricas, usted debe:","Mantener las luces bajas del vehículo.","Accionar las balizas y disminuir la velocidad.","Accionar faros antinieblas y encender luces altas para ser mejor divisado.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En una ruta nacional ¿que juego de luces es obligatorio llevar?","Luces altas.","Luces bajas.","Luces de posicion",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires. En el examen es una pregunta de carácter eliminatorio."
"En casos de intensa niebla:","Es aconsejable circular con las balizas encendidas","Es aconsejable circular con las luces de giro encendidas","No es aconsejable encender luces que no sean las reglamentarias.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Si decide detenerse por intensa niebla, debe hacerlo:","En la banquina, correctamente señalizado.","Alejado de la calzada o banquina lo más lejos posible del camino dejando las luces y balizas encendidas.","En la banquina, pero con luces delanteras y traseras encendidas.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuando deben utilizarse las luces interiores?","Siempre pueden utilizarse.","Sólo podrán utilizarse las luces interiores cuando no incidan directamente en la visión del conductor.","Podrán utilizarse las luces interiores en pleno viaje y cuando no incidan directamente en la visión del conductor.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El cambio de luz de alta por baja, ¿a que distancia se debe realizar?","El cambio de luz alta por baja debe realizarse a una distancia suficiente a fin de evitar el efecto de encandilamiento.","Puede realizarse en cualquier momento.","No puede realizarse nunca con un vehículo de frente.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El uso de luces bajas o alcance medio es obligatorio en zona rural, ruta, carretera autopista o semiautopista:","Desde el crepúsculo hasta el alba.","Durante las 24 horas del día sin importar las condiciones climáticas.","Durante las 24 horas del día sólo si la visibilidad es escasa.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El destello de luces sólo debe usarse:","Para advertir una emergencia en la vía pública.","En los cruces de vías y para advertir los sobrepasos.","Únicamente en los cruces de vías.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Las luces intermitentes de emergencias deben usarse para indicar:","Detención temporaria en “doble fila”.","Detención en peajes, zonas peligrosas o maniobras riesgosas.","Solamente cuando la detención sea para entrar o salir de estacionamientos.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Las luces de giro deben encenderse, conforme a sus fines:","Aunque la luz natural sea suficiente.","Sólo en horas nocturnas.","Sólo en zona urbana sin importar la luz reinante.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Cuando se produce un encandilamiento, las pupilas del conductor generalmente y en tiempos normales tardan en reestablecer la visibilidad","de 4 a 5 segundos.","de 4 a 6 segundos.","de 4 a 7 segundos.","de 4 a 8 segundos.",,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Para realizar un giro o circular en rotondas se debe:","Dar prioridad de paso al que circula desde la derecha.","Respetar la señalización.","Dar prioridad de paso al vehículo de mayor porte.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿En las vías mano simple se puede girar a la izquierda?","No, no se puede girar de ningún modo.","No, no está permitido salvo señalización que así lo permite.","Si, se puede realizar ese giro.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En las rotondas no se aplican reglas de tránsito especiales","Verdadero","Falso",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cómo debe advertir la maniobra de giro?:","Mediante la señal luminosa correspondiente y con debida anticipación.","Sacando el brazo por la ventanilla, con la señal luminosa correspondiente y con la debida anticipación.","No es necesario advertir la maniobra",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Puede detenerse durante la circulación en rotonda?:","Únicamente sobre la derecha con la debida señalización.","Únicamente sobre la izquierda con la debida señalización.","No está permitido detenerse.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Si desea girar a la derecha desde una calle de sentido único, ¿qué maniobra se debe realizar?","Debo acercar el automóvil al centro de la calle y luego girar.","Debo acercar el automóvil a la derecha y luego girar.","Debo acercar el automóvil a la izquierda y luego girar.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuando se debe encender la luz de giro en las rotondas?","En las rotondas la señal de giro debe encenderse antes de la mitad de cuadra previo al cruce.","En las rotondas la señal de giro debe encenderse después de la mitad de cuadra previo al cruce.","En las rotondas la señal de giro debe encenderse cunado se ingrese a la misma.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En rotonda, ¿tiene prioridad de paso el que circula por ella o el que intenta ingresar?:","El que circula por ella.","El que circula desde la derecha.","El que intenta ingresar.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Vías multicarriles:","La advertencia sobre cambio de carril, mediante la luz de giro, se realizará con una antelación mínima de DIEZ SEGUNDOS (10”).","La advertencia sobre cambio de carril, mediante la luz de giro, se realizará con una antelación mínima de CINCO SEGUNDOS (5”).","La advertencia sobre cambio de carril, mediante la luz de giro, se realizará con una antelación mínima de QUINCE SGUNDOS (15”).",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En el ingreso a una autopista ¿ a quien se debe ceder el paso?","En el ingreso a una autopista debe cederse el paso a quienes circulan por ella.","En el ingreso a una autopista debe cederse el paso a quienes circulan por la derecha","En el ingreso a una autopista debe cederse el paso a quienes circulan con mayor velocidad.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Los menores de edad ¿pueden obtener licencia de conducir?","Los menores de edad no pueden obtener licencias de conducir.","Los menores de edad deberán contar para la obtención de la licencia con una autorización expresa de padre y madre y/o tutor.","Los menores de edad pueden conducir con autorización expresa de padre o madre.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Ante una señal de pare Ud debe:","Disminuir la velocidad.","Detener por completo el vehículo.","Avanzar.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Una señal reglamentaria de prohibición o restricción. Desde donde tiene vigencia?","Desde donde el usuario la vea.","Desde el lugar donde está emplazada.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Los Agentes de Tránsito pueden proceder a la detención de un vehículo únicamente con la presencia de personal policial.","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Las señales transitorias señalizan la ejecución de trabajos de construcción y mantenimiento en la vía, o en zonas próximas a las mismas:","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Cuando un semáforo cambia de luz roja a verde, está habilitando a reiniciar la marcha; no obstante ello, ¿qué precauciones se deben adoptar?","No iniciar el cruce si no hay espacio para ubicar el vehículo del otro lado sin obstruir la circulación transversal.","Permitir, antes de avanzar, que complete el cruce otro vehículo o peatón que ya lo haya iniciado.","Ambas respuestas, la A y la B, son correctas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Una indicación puede estar expresada con una señal vertical o con una demarcación horizontal, ya que ambas tienen el mismo significado y orden jerárquico.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En materia de señalamiento horizontal, ¿qué se entiende por “isleta”?","Son las rotondas.","Son los espacios reservados para estacionamiento exclusivo de motovehículos.","Son las marcas canalizadoras de tránsito. No se puede traspasar o circular sobre ellas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuál es la importancia del color de las señales viales?","El color es para llamar la atención al conductor de categoría particular.","El color es irrelevante para el conductor particular pero sí para el conductor profesional.","El color, además de su forma, brinda información al conductor sobre el trayecto de la vía por la cual circula.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuáles son las señales preventivas?","Aquellas que advierten la proximidad de una circunstancia o variación de la normalidad de la vía que puede resultar sorpresiva o peligrosa a la circulación.","Aquellas que no transmiten órdenes ni previenen sobre irregularidades o riesgos en la vía. Identifican, orientan y hacen referencia a servicios, lugares, etc.","Aquellas que transmiten órdenes específicas, de cumplimiento obligatorio en el lugar para el cual están destinadas.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Qué indican las señales reglamentarias?","Advierten la proximidad de una circunstancia o variación de la normalidad de la vía que puede resultar sorpresiva o peligrosa a la circulación.","Identifican, orientan y hacen referencia a servicios, lugares, etc.","Transmiten órdenes específicas, de cumplimiento obligatorio en el lugar para el cual están destinadas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Las señales reglamentarias son redondas, blancas y con bordes rojos.","Verdadero","Falso",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Si nos encontramos ante un cuadrado o rectángulo azul o verde se trata de:","una señal reglamentaria","una señal preventiva","una señal de información y orientación",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Las señales redondas, blancas y con bordes rojos son señales de prevención.","Verdadero","Falso",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Violar o hacer caso omiso a una señal de prevención implica una sanción por parte de la autoridad competente.","Verdadero","Falso",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Violar o hacer caso omiso a una señal de información no conlleva a cometer una infracción.","Verdadero","Falso",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Las señales reglamentarias son normas de cumplimiento obligatorio","Verdadero","Falso",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires. En el examen es una pregunta de carácter eliminatorio."
"Las señales informativas nos alertan o advierten una cuestión determinada","Verdadero","Falso",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Todas las señales (salvo luces) deben ser retroreflectivas","Verdadero","Falso",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Las señales reglamentarias son cuadradas con diagonal vertical y amarillas","Verdadero","Falso",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Como norma de carácter general, ¿quién tiene prioridad de paso en una encrucijada sin semáforos?","Los vehículos de transporte de pasajero.","El vehículo de menor tamaño.","El vehículo que se presenta por el lado derecho.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Quién tiene prioridad de paso en una rotonda?","El vehículo que circule por la derecha.","El vehículo que pretende acceder a la rotonda.","El vehículo que se encuentra dentro de la calzada circular.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Como norma general, en una arteria de doble circulación, con pendiente pronunciada y con un ancho que no permite la circulación simultánea de dos vehículos, ¿quién tiene la prioridad de paso?","El vehículo que desciende.","El vehículo que asciende.","No hay prioridad, cualquiera de ellos.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuándo se debe ceder el paso a los vehículos que desean incorporarse al tránsito desde el lugar donde estaban estacionados o desde un garaje?","Siempre, independientemente de cómo se encuentre el tránsito vehicular.","Cuando el tránsito se encuentra interrumpido por cualquier razón.","Nunca, independientemente de cómo se encuentre el tránsito vehicular.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Es obligatorio al finalizar un adelantamiento...","Permanecer en el carril ocupado, independientemente de la fluidez del tránsito.","Incorporarse al carril derecho, si éste se encuentra libre, de forma gradual y sin obstaculizar la fluidez de tránsito.","Incorporarse al carril derecho, aunque ésto implique que otro vehículo deba modificar su velocidad.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El vehículo, que circula por el carril destinado al tránsito lento, no puede abandonarlo para sobrepasar a otro vehículo que transita más lento.","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El conductor del vehículo A quiere volver rápidamente al carril derecho porque ve ante él una situación de peligro, ¿qué debe hacer el conductor del vehículo B?","Aumentar la velocidad para que realice la maniobra detrás suyo.","Reducir la velocidad para facilitarle el retorno al carril.","Tocar bocina y hacer guiño de luces para indicarle que no debe realizar la maniobra.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Al advertir que está por ser sobrepasado, ¿cuál debería ser su actitud?","Circular por la banquina.","Circular por la derecha de la calzada y mantenerse. En el caso de ser necesario, reducir la velocidad.","Ambas respuestas, A y B, son correctas.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Cuando varios vehículos circulan encolumnados, ¿cuál de ellos tiene prioridad para realizar el sobrepaso?","El que lo intente primero.","El último de la fila.","El que circula más próximo al vehículo que se desea sobrepasar.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Si al llegar a una intersección sin semáforos, se encuentra que el vehículo que está delante suyo está detenido esperando poder doblar hacia la izquierda, ¿qué debe hacer si ud. desea continuar en línea recta?","Sobrepasarlo por la derecha de manera segura, colocando luz de giro y observando por los espejos retrovisores.","Sobrepaso por la izquierda, colocando la luz de giro y observando por los espejos retrovisores.","Tocarle bocina para indicarle que debe seguir.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Como norma general, ¿dónde está prohibido el sobrepaso de un vehículo?","Donde la delimitación de carriles es de trazo continuo.","En curvas, encrucijadas, pasos a nivel o puentes.","Ambas respuestas, A y B, son correctas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En un túnel, con ambos sentidos de circulación, ¿está permitido sobrepasar a un vehículo?","Sí, cuando no haya señal que lo prohíba.","No, ya que está prohibido por normativa.","Sí, si hay suficiente visibilidad.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En una vía de doble sentido de circulación, ¿qué deberá comprobar antes de iniciar un sobrepaso?","Que el vehículo que antecede, no tenga las luces intermitentes encendidas y que ningún vehículo circule en sentido contrario, mientras dure la maniobra de sobrepaso.","Que ningún otro vehículo esté realizando la maniobra de sobrepaso.","Ambas respuestas, A y B, son correctas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El carril de sobrepaso en una autopista sirve para...","Circular por él cuando a la derecha existe otro carril disponible.","Circular por él siempre que se conduzca a la mayor velocidad permitida.","Realizar maniobras de sobrepaso.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿A qué se denomina “carril de aceleración”?","Es el carril de incorporación a una autopista.","Es el carril derecho de una autopista.","Es el carril izquierdo de una autopista.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Al circular por una ruta a la velocidad máxima permitida sólo se está habilitado a superarla en el momento del sobrepaso.","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Al pretender abandonar una autopista o semiautopista, ¿cuándo se debe reducir la velocidad?","Poco antes de abandonar la misma.","Cuando se haya entrado en el carril de desaceleración.","Cuando se ingresa a la nueva vía de circulación.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Según la Ley Nacional N º 24.449, en carácter general, ¿cuál es la velocidad mínima permitida en las semiautopistas?","40 km/h.","50 km/h.","60 km/h.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Qué se conoce como velocidad precautoria?","A la velocidad adecuada a las circunstancias (dentro de los límites establecidos) que permite mantener el total dominio del vehículo sin generar riesgo.","La circulación a la velocidad mínima establecida para una vía.","La circulación a no más de 30 km/h en calles y de 45 km/h en avenidas.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿A qué se denomina “distancia de seguridad”?","A la distancia mínima que se debe mantener con el vehículo que circula adelante para tener un mayor margen de reacción y en caso de frenada repentina no se colisione con él.","A la distancia que se debe mantener con el vehículo que circula en el carril paralelo, para realizar un sobrepaso seguro.","A la distancia que recorre el vehículo desde que el conductor percibe una situación de peligro hasta que acciona el freno.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿A qué se denomina “tiempo de reacción”?","Al tiempo que pasa desde que se empieza una maniobra hasta que se termina.","Al tiempo que pasa desde que se enciende el vehículo hasta que se empieza a circular.","Al tiempo que pasa desde que se advierte una situación de riesgo hasta que se toma una decisión.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿A qué se denomina “distancia de reacción”?","A la distancia que recorre un vehículo hasta su detención.","A la distancia que debe guardar un vehículo, respecto de otro, para poder maniobrar.","A la distancia que recorre un vehículo desde que el conductor percibe un peligro hasta que toma una decisión.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Circular por debajo del límite mínimo de velocidad puede causar incidentes.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Qué relación existe entre la velocidad y el campo visual del conductor?","A mayor velocidad, menor campo visual.","A menor velocidad, menor campo visual.","A mayor velocidad, mayor campo visual.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Los excesos de velocidad...","En la actualidad apenas tienen incidencia en los incidentes, debido a la seguridad de los vehículos.","Son responsables de la mayoría de los incidentes solamente en vías de doble sentido.","Son responsables de la mayoría de los incidentes fatales cualquiera sea la vía de circulación.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Circular a velocidad constante y dentro de los límites establecidos por la Ley, además de minimizar las posibilidades de provocar un siniestro vial, puede optimizar el consumo de combustible en un vehículo.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Circular a mayor velocidad de la precautoria implica que aumenten las posibilidades de que un siniestro vial sea más grave.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Si al circular por ruta, el vehículo sale involuntariamente de la calzada, es recomendable:","Usar el freno de mano.","Desacelerar (no frenar).","Accionar fuertemente el pedal de freno.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Qué línea debe tomarse de referencia cuando se detiene o estaciona en proximidad de una esquina?","La línea peatonal.","La línea imaginaria de prolongación de ochava.","La línea de edificación transversal.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Encender las balizas permite detenerse en doble fila por un lapso de tiempo, entre 2 y 5 minutos.","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Está permitido circular marcha atrás en Provincia de Buenos Aires?","No, salvo que se realice para estacionar, entrar o salir de un garaje (cuando no exista otra posibilidad) o salvar algún obstáculo.","Sí, se puede realizar en cualquier ocasión pero el trayecto para circular debe ser de pocos metros. C. Sí, siempre que se realice antes de llegar a la mitad de la cuadra y asegurándose de no poner en riesgo al resto de los vehículos.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Cuando un conductor realiza marcha atrás, ¿qué distancia puede recorrer?","No debe superar la mitad de una cuadra.","No más de 20 metros.","El recorrido mínimo e indispensable, siempre que se trate de una maniobra de estacionamiento.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El ingreso hacia un garaje o estacionamiento, ¿cómo debe ser indicado por el conductor?","Con la luz de giro hacia el lado donde se irá a ingresar.","Con la luz de giro hacia el lado opuesto donde se irá a ingresar.","Con las luces intermitentes (balizas).",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Si usted está conduciendo y va a girar al llegar a una intersección, debe anticipar su maniobra utilizando la luz de giro correspondiente por lo menos...","20 metros antes de realizar la maniobra.","10 metros antes de realizar la maniobra.","30 metros antes de realizar la maniobra.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Para realizar correctamente un giro en una intersección se debe indicar...","Tocando bocina.","Utilizando la luz de giro del lado correspondiente, al menos 30 metros antes.","Utilizando ambos giros, metros antes de llegar a la intersección.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Circular con la luz alta encendida está prohibido en zonas urbanas.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿está permitido colocar a un automóvil particular luces adicionales?","Está permitido el agregado de dos faros rompeniebla y de hasta dos faros elevados con luces de freno.","Sí. Se puede agregar las luces que se deseen ya que cuanto más capacidad de iluminación tenga el vehículo, mejor visibilidad tendrá el conductor.","No, está prohibido agregar cualquier tipo de luz adicional. Sólo se podrá reponer las que traiga de fábrica, en caso de destrucción.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El sistema de luces que posee un vehículo, además de iluminar, brinda información que permite la comunicación entre vehículos y también peatones.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿A qué se denomina “aquaplaning”?","Cuando la cantidad de agua caída en una lluvia es abundante.","A la pérdida de adherencia del neumático al piso a causa de la capa de agua acumulada en el pavimento, que es mayor a la cantidad que se puede expulsar a través de los dibujos de los neumáticos.","Al estado resbaladizo en el que se encuentra la calzada luego de una llovizna.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Cuando hay agua en el camino, debe reducir su velocidad para evitar…","Desgastar las llantas.","Sobrecalentar las llantas.","El aquaplaning.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Si la calzada está mojada y hay charcos, ¿pueden perder eficacia los frenos?","No, al contrario, se mejora la adherencia porque los neumáticos se limpian.","Sí, porque al mojarse pueden no funcionar eficazmente.","No, porque justamente los frenos sirven para contrarrestar los efectos de la calzada resbaladiza.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Conducir de noche aumenta el riesgo de sufrir un incidente.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"La niebla, como factor de riesgo, produce modificaciones en…","El campo visual del conductor, su percepción del entorno, la capacidad lumínica del vehículo y la adherencia de las cubiertas.","El campo visual del conductor y la capacidad lumínica del vehículo.","Sólo afecta la capacidad lumínica del vehículo.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En condiciones de viento fuerte, es recomendable realizar los sobrepasos de un camión con una diferencia de velocidad no demasiado elevada.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Si el conductor de un vehículo circula con las balizas encendidas, toca repetidamente la bocina y el acompañante saca el brazo agitando un pañuelo. ¿Qué está indicando?","Que el vehículo tiene un desperfecto.","Que se encuentra en emergencia, transportando a una persona en grave estado de salud.","Ambas respuestas, la A y la B, son correctas.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Si al conducir por una autopista advierte que el vehículo presenta una falla grave, pero a pesar de ella puede seguir circulando; ¿qué se recomienda hacer en estos casos?","Seguir circulando por la autopista pero por el carril de desaceleración, destinado a los vehículos lentos.","Circular por el carril derecho y en la próxima salida abandonar la autopista para llamar al auxilio del vehículo.","Continuar a baja velocidad, manteniéndose en el carril, independientemente de cuál fuera.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿A qué se denomina conducción preventiva?","A controlar el buen funcionamiento del vehículo, los niveles de combustible, aceite e inflado de neumáticos.","A adoptar conductas cautelosas al conducir, que consideran la responsabilidad por los actos que se llevan a cabo y a anticipar la conducta de los demás.","A realizar cursos viales cada seis meses.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Una conducción preventiva o anticipada prevé que todos podemos cometer errores, a pesar de conocer la normativa y la concientización gubernamental.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿A qué se denomina conducción eficiente?","A una conducción que disminuya los riesgos de seguridad vial y logre un menor consumo de combustible.","A una conducción que logre llegar a destino en el menor tiempo posible.","A una conducción que mantenga durante todo el trayecto la misma velocidad.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Si los espejos retrovisores de su vehículo están bien orientados, igualmente es posible que se produzcan puntos ciegos cuando observe por los mismos.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cómo se pueden reducir los puntos ciegos al conducir un vehículo?","Acomodar correctamente los espejos retrovisores antes de iniciar la marcha. Mientras se circula, además de revisar los espejos retrovisores, utilizar la visión periférica dando vistazos por encima de los hombros cuando sea necesario.","Antes de realizar una maniobra se debe disminuir la velocidad de circulación, colocar la luz de giro y mirar por los espejos realizando un pequeño movimiento corporal hacia adelante para ampliar el ángulo de visión.","Ambas respuestas, A y B, son correctas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿A qué se llama “Punto Ciego”?","Al área de visión del entorno, a la que el conductor no tiene acceso ya sea de manera directa o porque los espejos retrovisores no la reflejan.","Sólo al área de visión que no es cubierta por los espejos retrovisores.","Al punto imaginario ubicado en el horizonte de una ruta.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Para realizar una conducción segura, ¿cuándo es recomendable verificar la orientación de los espejos retrovisores?","Antes de iniciar la marcha.","Durante la conducción, para poder hacer una prueba real.","Con el vehículo inmovilizado y el conductor fuera del mismo.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Todos los cristales de un vehículo deben garantizar visibilidad...","Solamente de adentro del automóvil hacia afuera.","Desde adentro hacia fuera y de afuera hacia adentro del vehículo.","El único cristal que debe garantizar plena y total visibilidad es el parabrisas.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Qué se entiende por habitáculo?","Al espacio a ser ocupado por el conductor y los pasajeros.","Al lugar en el cual se transporta el equipaje (Baúl).","Comprende a todo el vehículo en general.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cómo deben encontrarse los neumáticos para comprobar la correcta presión de aire?","Fríos.","Calientes.","Es indistinto, al ser de caucho se mantienen aislados de la temperatura.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿En qué momento es necesario renovar el siguiente elemento de seguridad? Cuando la profundidad del dibujo es menor de…","1,6 mm.","2 mm.","3 mm.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Si el sistema de amortiguación delantero de su vehículo se encuentra en mal estado, ¿puede afectar esta anomalía la conducción?","No, porque al ser el sistema de suspensión delantero el deteriorado, éste no influirá en la conducción.","Sí, puede afectar al correcto control del vehículo.","No, porque si se encuentra correctamente la suspensión trasera, ésta asegurará el contacto adecuado de las ruedas con la calzada.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿En qué ocasiones se permite el uso de la bocina?","Sólo para advertir una situación potencialmente de peligro.","Sólo para advertir de un sobrepaso.","Ambas respuestas, la A y la B, son incorrectas.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Los objetos sueltos como lentes, celular, llaves o similares resultan muy peligrosos en caso de incidentes o maniobras bruscas, porque pueden ocasionar una lesión grave producto de la energía cinética que poseen.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Al transportar cualquier elemento, éste debe ubicarse de modo que no perturbe la visibilidad, afecte peligrosamente las condiciones aerodinámicas del vehículo, oculte luces o sobresalga de los límites permitidos.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
