pregunta,opcion1,opcion2,opcion3,opcion4,opcion5,correctas,explicacion,imagen
"En la siguiente situación, ¿a quién le corresponde la prioridad de paso?","Al automóvil.","Al colectivo.","Es indistinto.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0113.webp"
"Frente a esta situación de obstrucción de vía, ¿qué debe hacer el conductor del vehículo señalado?","Debe ceder el paso al vehículo que circula en el sentido contrario.","Tiene prioridad de paso sobre el otro vehículo.","La normativa no establece prioridad de paso ante esta situación.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0114.webp"
"En la siguiente situación, ¿a quién le corresponde la prioridad de paso?","Al vehículo A, ya que circula por la derecha.","Al vehículo B, ya que circula por una avenida.","Es indistinto.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0115.webp"
"En esta situación, donde hay una calzada circular, ¿quién tiene la prioridad de paso?","El vehículo A.","El vehículo B.","Es indistinto.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0116.webp"
"En esta pendiente estrecha, ¿cuál de los dos vehículos tiene prioridad de paso?","El vehículo A.","El vehículo B.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0117.webp"
"El vehículo señalizado quiere incorporarse al tránsito, ¿tiene prioridad de paso sobre los otros vehículos que están circulando por esta arteria?","No, porque los vehículos de la arteria, a la que se pretende ingresar, están circulando.","Sí, porque se encuentra a la derecha.","Sí, porque señalizó su maniobra.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0118.webp"
"El vehículo señalizado quiere incorporarse al tránsito, ¿tiene prioridad de paso sobre los otros vehículos que están detenidos en la arteria?","No. La prioridad es de los otros vehículos, independientemente si están detenidos o circulando.","Sí, porque se encuentra el tránsito detenido y deben cederle el paso.","No. La Ley no menciona nada al respecto, sólo se expresa sobre las prioridades en intersecciones no semaforizadas.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0119.webp"
"En la siguiente situación, ¿el vehículo B puede sobrepasar al vehículo A?","Sí, salvo que se acerque un vehículo en el sentido contrario.","No, ya que está prohibido por la demarcación horizontal.","Sí, haciendo las señales de luces correspondientes y si el vehículo que circula en sentido contrario está lejos.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0120.webp"
"¿Cuáles de los siguientes vehículos NO se encuentran en infracción?","Los vehículos A y B.","Los vehículos A y C.","Los vehículos B y C.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0121.webp"
"El vehículo A pretende cambiar de carril hacia su derecha, ¿cuál de los dos vehículos tiene prioridad?","El vehículo A.","El vehículo B.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0122.webp"
"En este tipo de arteria, ¿quién tiene prioridad cuando se desea realizar un cambio de carril?","El vehículo que circula por el carril que se pretende ocupar.","El vehículo que realiza el cambio de carril.","El vehículo del carril más lento.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0123.webp"
"¿Cuál de estos carriles es el llamado “”carril de sobrepaso””?","Cualquiera de ellos.","Sólo el carril señalado como A.","Sólo el carril señalado como F.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0124.webp"
"En este tramo de la vía no se puede realizar un sobrepaso","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0125.webp"
"¿Está permitido sobrepasar a otro vehículo en este lugar?","Sí, salvo que haya una señal que indique lo contrario.","No, está prohibido por normativa.","Sólo en el caso de que no perjudique la circulación de otros vehículos.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0126.webp"
"En esta situación, ¿quién tiene prioridad para realizar el sobrepaso al camión?","El vehículo A.","El vehículo B.","El vehículo C.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0127.webp"
"¿Se puede traspasar la siguiente señal horizontal?","Sí, porque ordena la circulación de carriles e indica que se puede sobrepasar a otro vehículo.","Sólo cuando la vía tiene dos carriles por sentido de circulación.","No, porque indica prohibición de sobrepaso.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0128.webp"
"En este lugar, ¿está permitido sobrepasar a otro vehículo?","Sí, salvo que haya una señal que indique lo contrario.","No, está prohibido por normativa.","Sólo si no se perjudica la circulación de otros vehículos.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0129.webp"
"Frente a la demarcación central de la calzada señalada, ¿cuál es la conducta a seguir?","Se debe respetar lo que rige con respecto a la línea más próxima; si es continua no traspasarla y si es discontinua está permitido hacerlo.","Se debe respetar lo que rige con respecto a la línea más próxima; si es discontinua no traspasarla y si es continua está permitido hacerlo.","No debe traspasarse ninguna de ellas.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0130.webp"
"¿Qué indica esta demarcación amarilla en la calzada?","Indica que se puede traspasar.","Divide sentidos opuestos de circulación e indica que está prohibido traspasarla.","Que es una zona que se puede circular sobre ella.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0131.webp"
"El vehículo señalado con un círculo rojo, ¿circula correctamente?","Sí, porque en esta vía las luces deben estar encendidas.","Sí, ya que mantiene una distancia prudencial respecto del resto de los vehículos.","No, dado que está circulando por la banquina.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0132.webp"
"Un vehículo podrá circular por la franja paralela a la calzada, indicada en la imagen, sólo cuando el flujo vehicular esté absolutamente congestionado.","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0133.webp"
"El vehículo señalizado tiene permitido girar a la izquierda en este cruce que no tiene semáforo.","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0134.webp"
"El vehículo con un círculo de color rojo quería girar a la derecha y, por error continuó en línea recta, de modo que:","Puede circular marcha atrás, porque es un tramo corto el que tiene que recorrer, y efectuar el giro.","Puede dar la vuelta en U para tomar el sentido contrario y así efectuar el giro programado.","Ambas respuestas, A y B, son incorrectas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0135.webp"
"Según las normas generales, ¿cuál es la velocidad mínima permitida en esta calle?","30 km/h.","40 km/h.","20 km/h.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0136.webp"
"Según las normas generales, ¿cuál es la velocidad máxima permitida para un automóvil particular en esta avenida?","40 km/h.","70 km/h.","60 km/h.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0137.webp"
"¿Cuál es la velocidad máxima permitida para un automóvil particular en este tramo de la avenida?","60 km/h.","50 km/h.","40 km/h.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0138.webp"
"¿Cuál es la velocidad máxima permitida en este tramo de calle?","40 km/h.","20 km/h.","30 km/h.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0139.webp"
"Los vehículos que circulan por la siguiente avenida, al llegar a esta bocacalle sin semáforos, ¿cuál es el límite superior de velocidad precautoria que deben respetar?","20 kilómetros por hora.","40 kilómetros por hora.","30 kilómetros por hora.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0140.webp"
"¿Cuál es la “distancia mínima de seguridad” a la que debe circular el vehículo A con respecto al B?","A una diferencia de dos segundos.","A una distancia de 2 metros.","No existe una determinada. Sólo está prohibido circular inmediatamente detrás, sin dejar distancia.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0141.webp"
"¿Cuál es la manera más adecuada de conducir un vehículo en este tramo de la ruta?","Aumentar la velocidad gradualmente antes de ingresar en la curva.","Desacelerar antes de ingresar a la curva.","Mantener la misma velocidad antes de la curva y acelerar mientras se circula en ella.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0142.webp"
"¿El vehículo de la imagen se encuentra en infracción?","Sí, salvo que el propietario del vehículo sea el mismo que el de la vivienda.","No, ya que hay espacio suficiente para el paso del peatón.","Ambas respuestas, A y B, son incorrectas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0143.webp"
"El vehículo con la oblea universal de discapacidad que se muestra en esta imagen, ¿se encuentra en infracción?","No, ya que al portar la oblea universal de discapacidad tiene libre estacionamiento y por ello puede estacionar en este lugar.","Sí. Todo vehículo tiene prohibido estacionar en este sector ya que pone en riesgo a pasajeros y peatones.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0144.webp"
"¿Es correcta la detención del vehículo en este sector?","Sí, ya que se encuentra con balizas encendidas.","Sí, porque sólo está prohibido el estacionamiento.","No, ya que tanto la detención como el estacionamiento en este sector se encuentra prohibido.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0145.webp"
"Como norma general, frente a esta señal, ¿está permitido detenerse para el ascenso o descenso de pasajeros?","No. Está prohibido estacionar y detenerse.","Sí. Sólo está prohibido estacionar pero no detenerse.","Según la hora en que quiera realizarse la detención.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0146.webp"
"¿Está permitida la acción que se presenta en la siguiente imagen?","Sí, porque tiene las balizas encendidas y no necesita permanecer más de 5 minutos para que descienda un pasajero.","Sí, porque la doble fila está permitida cuando se trata de ascenso y descenso de pasajeros.","No, ya que la doble fila está permitida sólo como detención previa a la maniobra de estacionamiento.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0147.webp"
"¿Este vehículo se encuentra bien estacionado?","Sí. Al no estar el cordón pintado de amarillo, está habilitado a estacionarse y detenerse.","Sí. Al no estar el cordón pintado de rojo, está habilitado a estacionarse pero no a detenerse.","No, porque debería estar más alejado del cordón (a 20 cm de él).",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0148.webp"
"¿Qué precauciones se deben tener al dejar estacionado un vehículo en esta situación?","Orientar las ruedas hacia el cordón de la vereda y dejar la marcha hacia atrás o en posición de estacionamiento en el caso de tener caja automática.","Orientar las ruedas hacia el centro de la calzada y dejar la marcha en primera o en posición de estacionamiento en el caso de tener caja automática.","Orientar las ruedas paralelas al cordón y sin cambio o en posición de estacionamiento en el caso de tener caja automática.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0149.webp"
"¿Se está habilitado a detener un vehículo en este lugar?","Sí, siempre y cuando no entorpezca la circulación.","No, está prohibido estacionar y detenerse por normativa.","Si, a menos que haya una señal que lo prohíba expresamente.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0151.webp"
"Si el vehículo que lo precede, circula con estas luces intermitentes encendidas, ¿qué podría estar indicando el conductor?","Que el vehículo circula lentamente.","Que el vehículo próximamente ingresará a un garage o se detendrá.","Que el vehículo realizará un giro en la próxima intersección.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0152.webp"
"¿Qué indica el uso de este tipo de luces?","Cuando se utilizan por separado sirven para preanunciar maniobras.","Cuando se utilizan a la vez sirven para anunciar situaciones de emergencias o que se está por detener.","Ambas respuestas, la A y la B, son correctas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0153.webp"
"Si el vehículo de la imagen se dispone a ingresar a un garaje, está anticipando su maniobra, utilizando las luces correctas.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0154.webp"
"Si el vehículo de la imagen se dispone a ingresar a un garaje ubicado a su derecha, está anticipando su maniobra utilizando las luces correctas.","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0155.webp"
"¿Son válidas este tipo de señas?","Como acompañamiento al uso de balizas y/o en caso de emergencia.","Nunca.","Sólo cuando se utilicen en calles.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0156.webp"
"El vehículo, señalado con un círculo rojo, circula utilizando las luces correctas.","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0157.webp"
"Al observar las luces de este vehículo, ¿qué significado tienen en cuanto al sentido de circulación?","Que está circulando en mí mismo sentido.","Que está circulando en el sentido contrario al mío.","No indican sentido de circulación sino que está descompuesto.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0158.webp"
"¿Para qué sirven estas luces intermitentes?","Para advertir a los demás conductores, frente a malas condiciones climáticas, que el vehículo circula a baja velocidad.","Para señalizar y advertir a los demás conductores que el vehículo se encuentra detenido o próximo a una maniobra de detención, estacionamiento o emergencia.","Ambas respuestas, A y B, son correctas.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0159.webp"
"Si al circular por la siguiente arteria, se ve obligado a detener en la banquina, ¿qué luces debe colocar?","Luces altas y giro.","Luces reglamentarias y balizas.","Luces antinieblas.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0160.webp"
"¿Qué significado tiene el color de las luces encendidas que se indican en la imagen?","Al estar ubicada en la parte posterior del vehículo, el color blanco es para diferenciarla de las luces de freno, posición y giro.","Al ser de color blanco se obtiene mejor visión cuando la maniobra de retroceso se debe realizar de noche o en condiciones de poca visibilidad.","Indica el sentido de circulación. La luz blanca significa que el vehículo circula en sentido contrario al del vehículo rojo que está detrás de él.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0161.webp"
"En cuanto a la velocidad frente a esta situación, ¿qué debería considerar un conductor?","Debería circular a la mitad de la velocidad máxima establecida por Ley.","Debería adecuar la velocidad de acuerdo a las condiciones climáticas y de dicha vía de circulación.","Lo único que debería hacer es respetar es la velocidad máxima de la arteria por la que circula.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0162.webp"
"¿Cómo se define el efecto que ocurre en la siguiente imagen?","Aquaplaning.","Off tracking.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0163.webp"
"Frente a esta condición climática, ¿se deben encender las luces bajas?","Sí, siempre que está disminuida la visibilidad.","No, porque las luces sólo deben utilizarse por la noche.","Sí, pero sólo en rutas.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0164.webp"
"Al conducir por un largo lapso de tiempo y en esta condición climática…","Es menos probable que aparezca la fatiga, ya que aumenta la atención.","Es necesario descansar con más frecuencia, para evitar la fatiga.","No influye en la aparición de fatiga, siempre y cuando se mantenga una velocidad prudente.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0165.webp"
"Bajo esta condición climática, ¿es recomendable aumentar la distancia de seguridad y reducir la velocidad?","No, al reducir la velocidad, mayor es la proporción de agua en el asfalto.","Sí, con lluvia la adherencia es menor.","No. La distancia de seguridad debe ser siempre la misma.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0166.webp"
"Cuando conduce bajo esta condición climática, ¿a cuánto se debe incrementar la regla de 2 segundos en la distancia de seguridad?","A 4 segundos.","A 3 segundos.","A 5 segundos.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0167.webp"
"Al conducir sobre una calzada en estas condiciones, la distancia de frenado será...","Igual que cuando la calzada se encuentra seca.","Menor que cuando la calzada se encuentra seca.","Mayor que cuando la calzada se encuentra seca.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0168.webp"
"En estas condiciones, ¿una incorrecta regulación de la altura de las luces bajas puede producir encandilamiento?","Sí, porque este efecto se produce por cambios bruscos en la intensidad de la luz.","No, porque este efecto se produce sólo por el uso de la luz alta.","No, porque este efecto se produce en rutas con poca iluminación.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0169.webp"
"¿Cuál es el límite de velocidad máxima en esta situación?","60 km/h.","80 km/h.","40 km/h.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0170.webp"
"Ante la siguiente situación, ¿qué es lo que se recomienda hacer?","Utilizar las luces rompeniebla, lo cual es suficiente porque permite ampliar la visibilidad del conductor.","Conducir con ambas manos en el volante, reducir la velocidad, aumentar la distancia entre vehículos y utilizar las luces correspondientes del vehículo.","Detenerse en la banquina hasta que levante el banco de niebla.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0171.webp"
"Con estas condiciones climáticas, ¿qué luces debe utilizar para poder circular en esta ruta?","Las luces altas, durante todo el recorrido mientras continúe la niebla.","Las luces bajas y las rompeniebla (en el caso de tenerlas).","Las luces bajas, las rompenieblas (en caso de tenerlas) y las balizas.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0172.webp"
"¿En qué caso deberán utilizarse estas luces?","Únicamente de noche y por una vía sin asfaltar.","Sólo por vías sin banquina.","En vías afectadas por niebla, en cualquier horario.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0173.webp"
"Si se encuentra en esta vía bajo estas condiciones climáticas, ¿lo más conveniente es detenerse en la banquina?","Sí, cuando el banco de niebla es muy denso.","Sí, siempre y cuando se coloquen las luces altas para ser más visibles.","No. Si no hay posibilidad de circular, debe alejarse lo más posible de la calzada y de la banquina.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0174.webp"
"Si ud. circula por la ruta y observa esta situación, debe…","Aumentar la velocidad para sobrepasar al animal rápidamente.","Usar la bocina para ahuyentar al animal y mantener su velocidad.","Reducir la velocidad y si es necesario detenerse.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0175.webp"
"¿Es seguro conducir con este tipo de calzado?","Es indistinto mientras que no resbalen.","Sólo puede verse afectada la conducción en viajes largos.","No, sólo un calzado sujeto al pie brinda seguridad en la conducción.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0176.webp"
"En este tipo de vía, ¿está permitido remolcar con su automóvil particular a otro que se encuentra descompuesto?","Sí, ya que es riesgoso que quede detenido pero sólo puede hacerse hasta el lugar más próximo donde pueda quedar inmovilizado.","Sí, pero sólo si soy titular de una licencia que autoriza a conducir vehículos con remolque.","No, sólo pueden hacerlo los vehículos autorizados a tal fin.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0177.webp"
"Indique cuál de estas imágenes muestra la manera correcta de colocar el espejo retrovisor:","Imagen A.","Imagen B.","Ambas respuestas, la A y la B, son correctas.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0178.webp"
"¿Cuál es la correcta presión de los neumáticos de un automóvil particular?","28 lbs.","La que indique el manual del usuario de ese automóvil.","30 lbs.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0179.webp"
"Si al circular se presenta la siguiente situación, ¿cuál es la acción que se recomienda realizar?","Frenar inmediatamente.","Desacelerar rápidamente y frenar.","Desacelerar lentamente y sujetar el volante.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0180.webp"
"Según la Ley N° 24.449, ¿qué ítem enumera los elementos de seguridad obligatorios que se deben llevar en un vehículo?","Los elementos A, B y D.","Los elementos B, C y D.","Los elementos A, D y E.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0181.webp"
"El siguiente elemento de seguridad, está correctamente ubicado.","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0182.webp"
"Este elemento de seguridad pasiva sirve para reducir el daño producido a los ocupantes de un vehículo al momento de un siniestro.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0184.webp"
"Este elemento de seguridad...","Permite prescindir del uso del cinturón de seguridad.","Complementa el uso del cinturón de seguridad.","Es incompatible con el uso del cinturón de seguridad.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0185.webp"
"¿Es correcta la colocación del dispositivo de retención infantil en este vehículo?","Sí, salvo en rutas nacionales.","Sí, siempre y cuando esté debidamente ajustado.","No, ya que estos dispositivos deben ir colocados en los asientos traseros.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0186.webp"
"En la siguiente imagen, ¿es correcta la colocación del dispositivo de retención infantil para un niño de 7 años?","Sí, ya que se encuentra bien ajustado y en el asiento trasero.","No, ya que la orientación “a contra marcha” de los SRI es sólo para los grupos 0 y 0+ y 1 de SRI según indique su fabricante y este niño supera la edad para esos grupos.","Sí, ya que la orientación “a contra marcha” reduce el efecto “latigazo” en caso de un siniestro.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0187.webp"
"¿Es correcta la manera en que utiliza el Sistema de Retención Infantil (SRI) esta niña?","Sí, ya que se encuentra sentada en un SRI, en el asiento trasero.","No, ya que la niña debería ubicarse “a contra marcha” para reducir el efecto “latigazo”.","No, ya que la niña no utiliza el cinturón de seguridad del SRI.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0188.webp"
"El apoyacabeza está correctamente ubicado en función del conductor.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0189.webp"
"¿Es obligatoria la utilización de este elemento en todos los asientos del automóvil?","Sí. Lo establece la normativa para evitar lesiones graves en la zona cervical.","No en todos, para los asientos traseros no cumplen ninguna función.","No, ya que no forma parte de la seguridad activa ni pasiva de los vehículos.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0190.webp"
"Frente a un siniestro, ¿qué puede evitar este elemento si está correctamente ubicado?","Nada en especial, dado que sólo es un elemento de confort.","Lesiones en la zona cervical.","Lesiones en el tórax.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0191.webp"
"¿Todos los ocupantes del vehículo viajan de manera correcta?","Sí, ya que la obligación del uso del cinturón de seguridad alcanza sólo al conductor.","Sí, ya que la obligación del uso del cinturón de seguridad alcanza sólo a las personas que se trasladen en los asientos delanteros.","No, porque la obligación del uso del cinturón de seguridad es para todas las personas transportadas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0192.webp"
"¿Cuál de estas imágenes muestra el uso adecuado del cinturón de seguridad durante el embarazo?","Imagen A.","Imagen B.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0193.webp"
"¿Esta persona tiene el cinturón correctamente colocado?","No, porque pasa por el abdomen y debería hacerlo por los huesos de la cadera.","No, porque pasa por el abdomen y debería hacerlo por los muslos.","Sí, porque pasa por la clavícula y el abdomen.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0194.webp"
"¿Cuál es la correcta posición del uso de la banda inferior del cinturón de seguridad de tres puntas?","Opción A.","Opción B.","Ambas opciones, A y B, son correctas.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0195.webp"
"Los ocupantes de este vehículo ¿viajan de manera segura?","Sí, ya que las personas se encuentran con cinturón de seguridad.","No, ya que por normativa no está permitido trasladar mascotas en un automóvil particular.","No, ya que las mascotas deben ser transportadas en los asientos traseros sujetos con arnés o sistema de retención correspondiente.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0196.webp"
